"","Handling","Offer","Choice","RT","Experiment.Time","Block"
"1",14,20,1,14.0199348926544,21.0641310214996,1
"2",14,8,1,14.0207691192627,41.1489078998566,1
"3",14,4,0,2.30286002159119,49.5142080783844,1
"4",14,4,0,0.0819339752197266,53.6271789073944,1
"5",14,8,1,14.0206000804901,71.6822068691254,1
"6",14,20,1,14.0208530426025,91.7658479213715,1
"7",14,8,0,0.113488912582397,97.9415500164032,1
"8",14,4,0,0.410713911056519,102.388205051422,1
"9",14,20,1,14.0207440853119,120.448987960815,1
"10",14,8,0,0.0661711692810059,126.577548980713,1
"11",14,4,0,2.00652098655701,132.618015050888,1
"12",14,20,1,14.0197100639343,150.664298057556,1
"13",14,4,0,0.0654988288879395,156.793395996094,1
"14",14,20,1,14.0202808380127,174.848629951477,1
"15",14,8,0,0.113425970077515,181.025150060654,1
"16",14,4,0,0.0504341125488281,185.112073898315,1
"17",14,20,1,14.0192539691925,203.1637840271,1
"18",14,8,0,0.206455945968628,209.417973041534,1
"19",14,8,0,0.25304102897644,213.697885036469,1
"20",14,20,1,14.0195279121399,231.747919082642,1
"21",14,4,0,0.160055875778198,237.954668045044,1
"22",14,8,0,0.2533860206604,242.248324871063,1
"23",14,20,1,14.0195350646973,260.297795057297,1
"24",14,4,0,0.0660610198974609,266.410865068436,1
"25",14,8,0,0.128959178924561,270.573721885681,1
"26",14,4,0,0.144531965255737,274.755892038345,1
"27",14,20,1,14.0200839042664,292.814918041229,1
"28",14,8,0,0.112679004669189,299.040322065353,1
"29",14,4,0,0.0977239608764648,303.175137996674,1
"30",14,20,1,14.0199389457703,321.232711076736,1
"31",14,20,1,14.0209889411926,341.317102909088,1
"32",14,8,0,0.223012924194336,347.602385997772,1
"33",14,8,0,0.128669023513794,351.758074045181,1
"34",14,4,0,0.0659120082855225,355.861531972885,1
"35",14,4,0,1.0193920135498,360.915407896042,1
"36",14,20,1,14.019278049469,378.96511888504,1
"37",14,4,0,0.113059043884277,385.142816066742,1
"38",14,20,1,14.0202460289001,403.200177907944,1
"39",14,20,1,14.0207929611206,423.284005880356,1
